"Fecha de Emisión";"Tipo de Comprobante";"Punto de Venta";"Número Desde";"Número Hasta";"Cód. Autorización";"Tipo Doc. Receptor";"Nro. Doc. Receptor";"Denominación Receptor";"Tipo Cambio";"Moneda";"Imp. Neto Gravado IVA 0%";"IVA 2,5%";"Imp. Neto Gravado IVA 2,5%";"IVA 5%";"Imp. Neto Gravado IVA 5%";"IVA 10,5%";"Imp. Neto Gravado IVA 10,5%";"IVA 21%";"Imp. Neto Gravado IVA 21%";"IVA 27%";"Imp. Neto Gravado IVA 27%";"Imp. Neto Gravado Total";"Imp. Neto No Gravado";"Imp. Op. Exentas";"Otros Tributos";"Total IVA";"Imp. Total"
2026-04-21;51;1;1;1;86162476615541;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;183631,30;874434,76;;;874434,76;0,00;0,00;0,00;183631,30;1058066,07
2026-04-21;51;1;2;2;86162476939217;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;314043,40;1495444,76;;;1495444,76;0,00;0,00;0,00;314043,40;1809488,16
2026-04-22;51;1;14;14;86162576353015;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;6226,35;29649,29;;;29649,29;0,00;0,00;0,00;6226,35;35875,62
2026-04-22;51;1;8;8;86162565310140;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;332492,39;1583297,10;;;1583297,10;0,00;0,00;0,00;332492,39;1915789,47
2026-04-22;51;1;9;9;86162565572848;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;595832,65;2837298,33;;;2837298,33;0,00;0,00;0,00;595832,65;3433130,96
2026-04-22;51;1;15;15;86162576867347;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;18900,00;90000,00;;;90000,00;0,00;0,00;0,00;18900,00;108900,00
2026-04-22;51;1;10;10;86162574389348;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;258941,78;1233056,10;;;1233056,10;0,00;0,00;0,00;258941,78;1491997,87
2026-04-22;51;1;11;11;86162574593682;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;132132,45;629202,14;;;629202,14;0,00;0,00;0,00;132132,45;761334,60
2026-04-22;51;1;12;12;86162574804137;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;495166,93;2357937,76;;;2357937,76;0,00;0,00;0,00;495166,93;2853104,69
2026-04-22;51;1;3;3;86162563755745;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;48280,27;229906,05;;;229906,05;0,00;0,00;0,00;48280,27;278186,34
2026-04-22;51;1;4;4;86162564317918;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;286624,00;1364876,19;;;1364876,19;0,00;0,00;0,00;286624,00;1651500,19
2026-04-22;51;1;5;5;86162564572282;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;79158,70;376946,19;;;376946,19;0,00;0,00;0,00;79158,70;456104,90
2026-04-22;51;1;13;13;86162576004400;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;380612,67;1812441,29;;;1812441,29;0,00;0,00;0,00;380612,67;2193053,97
2026-04-22;51;1;6;6;86162564802876;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;267534,14;1273972,10;;;1273972,10;0,00;0,00;0,00;267534,14;1541506,23
2026-04-22;51;1;7;7;86162564996277;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;203323,92;968209,14;;;968209,14;0,00;0,00;0,00;203323,92;1171533,06
2026-05-07;51;1;16;16;86194494074586;80;30718699920;KING GROUP S. R. L.;1,00;$;;;;;;;;369600,00;1760000,00;;;1760000,00;0,00;0,00;0,00;369600,00;2129600,00
2026-05-12;51;1;23;23;86195268218373;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;849370,83;4044623,00;;;4044623,00;0,00;0,00;0,00;849370,83;4893993,81
2026-05-12;51;1;24;24;86195268875210;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;351775,08;1675119,43;;;1675119,43;0,00;0,00;0,00;351775,08;2026894,51
2026-05-12;51;1;19;19;86195259801253;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;265114,54;1262450,19;;;1262450,19;0,00;0,00;0,00;265114,54;1527564,74
2026-05-12;51;1;25;25;86195269794447;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;1113189,92;5300904,38;;;5300904,38;0,00;0,00;0,00;1113189,92;6414094,31
2026-05-12;51;1;20;20;86195260315188;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;43046,74;204984,48;;;204984,48;0,00;0,00;0,00;43046,74;248031,20
2026-05-12;51;1;26;26;86195270395103;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;918805,00;4375261,90;;;4375261,90;0,00;0,00;0,00;918805,00;5294066,92
2026-05-12;51;1;17;17;86195220688120;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;231810,38;1103858,95;;;1103858,95;0,00;0,00;0,00;231810,38;1335669,33
2026-05-12;51;1;18;18;86195257339258;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;57132,77;272060,81;;;272060,81;0,00;0,00;0,00;57132,77;329193,57
2026-05-12;51;1;21;21;86195264027801;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;95015,32;452453,90;;;452453,90;0,00;0,00;0,00;95015,32;547469,22
2026-05-12;51;1;27;27;86195270809508;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;725380,20;3454191,43;;;3454191,43;0,00;0,00;0,00;725380,20;4179571,63
2026-05-12;51;1;22;22;86195264380963;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;163569,02;778900,10;;;778900,10;0,00;0,00;0,00;163569,02;942469,11
2026-05-14;51;1;28;28;86205515579186;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;18900,00;90000,00;;;90000,00;0,00;0,00;0,00;18900,00;108900,00
2026-05-16;51;1;29;29;86205786894030;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;5250,00;25000,00;;;25000,00;0,00;0,00;0,00;5250,00;30250,00
2026-05-20;51;1;30;30;86206286038046;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;18900,00;90000,00;;;90000,00;0,00;0,00;0,00;18900,00;108900,00
2026-05-21;51;1;31;31;86216469812560;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;5250,00;25000,00;;;25000,00;0,00;0,00;0,00;5250,00;30250,00
2026-06-04;51;1;33;33;86238390580708;80;33715467939;KINGTEC SRL;1,00;$;;;;;;;;69300,00;330000,00;;;330000,00;0,00;0,00;0,00;69300,00;399300,00
2026-06-04;51;1;32;32;86238390272654;80;30718699920;KING GROUP S. R. L.;1,00;$;;;;;;;;69300,00;330000,00;;;330000,00;0,00;0,00;0,00;69300,00;399300,00
2026-06-06;51;1;34;34;86238616191545;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;236974,47;1128449,86;;;1128449,86;0,00;0,00;0,00;236974,47;1365424,32
2026-06-06;51;1;35;35;86238616258610;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;217487,60;1035655,24;;;1035655,24;0,00;0,00;0,00;217487,60;1253142,84
2026-06-06;51;1;38;38;86238619468974;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;330929,96;1575856,95;;;1575856,95;0,00;0,00;0,00;330929,96;1906786,92
2026-06-06;51;1;39;39;86238619585801;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;980844,94;4670690,19;;;4670690,19;0,00;0,00;0,00;980844,94;5651535,11
2026-06-06;51;1;40;40;86238619816527;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;386213,62;1839112,48;;;1839112,48;0,00;0,00;0,00;386213,62;2225326,10
2026-06-06;51;1;41;41;86238619944288;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;584072,65;2781298,33;;;2781298,33;0,00;0,00;0,00;584072,65;3365370,98
2026-06-06;51;1;36;36;86238617555978;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;1171816,14;5580076,86;;;5580076,86;0,00;0,00;0,00;1171816,14;6751892,99
2026-06-06;51;1;37;37;86238617679522;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;819826,92;3903937,71;;;3903937,71;0,00;0,00;0,00;819826,92;4723764,64
2026-06-08;51;1;42;42;86238914577734;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;217487,60;1035655,24;;;1035655,24;0,00;0,00;0,00;217487,60;1253142,83
2026-06-08;53;1;1;1;86238915012287;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;217487,60;1035655,24;;;1035655,24;0,00;0,00;0,00;217487,60;1253142,84
2026-06-22;51;1;43;43;86250671640025;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;18900,00;90000,00;;;90000,00;0,00;0,00;0,00;18900,00;108900,00
2026-06-25;51;1;47;47;86261123558802;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;855165,22;4072215,33;;;4072215,33;0,00;0,00;0,00;855165,22;4927380,57
2026-06-25;51;1;48;48;86261123868270;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;414212,18;1972438,95;;;1972438,95;0,00;0,00;0,00;414212,18;2386651,15
2026-06-25;51;1;49;49;86261124229435;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;186052,04;885962,10;;;885962,10;0,00;0,00;0,00;186052,04;1072014,14
2026-06-25;51;1;50;50;86261124499451;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;158957,14;756938,76;;;756938,76;0,00;0,00;0,00;158957,14;915895,89
2026-06-25;51;1;44;44;86261121944393;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;370306,10;1763362,38;;;1763362,38;0,00;0,00;0,00;370306,10;2133668,50
2026-06-25;51;1;51;51;86261152886655;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;21000,00;100000,00;;;100000,00;0,00;0,00;0,00;21000,00;121000,00
2026-06-25;51;1;45;45;86261122489600;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;550190,38;2619954,19;;;2619954,19;0,00;0,00;0,00;550190,38;3170144,56
2026-06-25;51;1;52;52;86261153101404;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;21000,00;100000,00;;;100000,00;0,00;0,00;0,00;21000,00;121000,00
2026-06-25;51;1;46;46;86261123194271;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;577203,51;2748588,14;;;2748588,14;0,00;0,00;0,00;577203,51;3325791,67
2026-06-30;51;1;57;57;86261825009188;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;264469,24;1259377,33;;;1259377,33;0,00;0,00;0,00;264469,24;1523846,57
2026-06-30;51;1;58;58;86261825269240;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;740839,10;3527805,24;;;3527805,24;0,00;0,00;0,00;740839,10;4268644,36
2026-06-30;51;1;59;59;86261826065413;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;367977,87;1752275,57;;;1752275,57;0,00;0,00;0,00;367977,87;2120253,45
2026-06-30;51;1;53;53;86261822942484;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;40117,82;191037,24;;;191037,24;0,00;0,00;0,00;40117,82;231155,06
2026-06-30;51;1;60;60;86261826598164;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;665886,28;3170887,05;;;3170887,05;0,00;0,00;0,00;665886,28;3836773,34
2026-06-30;51;1;54;54;86261823716033;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;96779,21;460853,38;;;460853,38;0,00;0,00;0,00;96779,21;557632,57
2026-06-30;51;1;55;55;86261824186753;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;143968,12;685562,48;;;685562,48;0,00;0,00;0,00;143968,12;829530,62
2026-06-30;51;1;56;56;86261824384506;80;30501077131;CAFES LA VIRGINIA S A;1,00;$;;;;;;;;134098,88;638566,10;;;638566,10;0,00;0,00;0,00;134098,88;772664,98
